scenario,seed,turn,country,strategy,alive,population,territory,capacity,known_cells,attacks_made,attacks_suffered,battles_won,cells_gained,cells_lost,casualties,trade_agreements,non_aggression_pacts,military_alliances,mean_attitude_out,mean_attitude_in
all_strategies,0,1,peace-1,peace,1,104,2,2000,5,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,1,switzerland-1,switzerland,1,104,2,2000,5,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,1,hegemony-1,hegemony,1,104,2,2000,4,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,1,retaliation-1,retaliation,1,104,2,2000,4,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,1,random-1,random,1,104,2,2000,5,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,2,peace-1,peace,1,109,3,3000,8,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,2,switzerland-1,switzerland,1,109,3,3000,8,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,2,hegemony-1,hegemony,1,109,3,3000,7,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,2,retaliation-1,retaliation,1,109,3,3000,7,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,2,random-1,random,1,109,3,3000,8,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,3,peace-1,peace,1,115,4,4000,10,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,3,switzerland-1,switzerland,1,115,4,4000,9,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,3,hegemony-1,hegemony,1,115,4,4000,8,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,3,retaliation-1,retaliation,1,115,4,4000,9,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,3,random-1,random,1,115,4,4000,10,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,4,peace-1,peace,1,120,5,5000,13,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,4,switzerland-1,switzerland,1,120,5,5000,11,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,4,hegemony-1,hegemony,1,120,5,5000,10,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,4,retaliation-1,retaliation,1,120,5,5000,12,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,4,random-1,random,1,120,5,5000,12,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,5,peace-1,peace,1,126,6,6000,14,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,5,switzerland-1,switzerland,1,126,6,6000,12,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,5,hegemony-1,hegemony,1,126,6,6000,12,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,5,retaliation-1,retaliation,1,126,6,6000,14,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,5,random-1,random,1,126,6,6000,14,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,6,peace-1,peace,1,132,7,7000,16,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,6,switzerland-1,switzerland,1,132,7,7000,14,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,6,hegemony-1,hegemony,1,132,7,7000,13,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,6,retaliation-1,retaliation,1,132,7,7000,14,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,6,random-1,random,1,132,7,7000,17,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,7,peace-1,peace,1,139,8,8000,19,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,7,switzerland-1,switzerland,1,139,8,8000,15,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,7,hegemony-1,hegemony,1,139,8,8000,15,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,7,retaliation-1,retaliation,1,139,8,8000,17,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,7,random-1,random,1,139,8,8000,19,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,8,peace-1,peace,1,146,9,9000,20,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,8,switzerland-1,switzerland,1,146,9,9000,18,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,8,hegemony-1,hegemony,1,146,9,9000,16,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,8,retaliation-1,retaliation,1,146,9,9000,20,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,8,random-1,random,1,146,9,9000,20,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,9,peace-1,peace,1,153,10,10000,21,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,9,switzerland-1,switzerland,1,153,10,10000,18,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,9,hegemony-1,hegemony,1,153,10,10000,18,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,9,retaliation-1,retaliation,1,153,10,10000,21,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,9,random-1,random,1,153,10,10000,22,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,10,peace-1,peace,1,160,11,11000,24,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,10,switzerland-1,switzerland,1,160,11,11000,21,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,10,hegemony-1,hegemony,1,160,11,11000,19,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,10,retaliation-1,retaliation,1,160,11,11000,23,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,10,random-1,random,1,160,11,11000,24,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,11,peace-1,peace,1,168,12,12000,26,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,11,switzerland-1,switzerland,1,168,12,12000,23,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,11,hegemony-1,hegemony,1,168,12,12000,21,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,11,retaliation-1,retaliation,1,168,12,12000,25,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,11,random-1,random,1,168,12,12000,26,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,12,peace-1,peace,1,177,13,13000,27,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,12,switzerland-1,switzerland,1,177,13,13000,25,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,12,hegemony-1,hegemony,1,177,13,13000,21,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,12,retaliation-1,retaliation,1,177,13,13000,26,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,12,random-1,random,1,177,13,13000,27,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,13,peace-1,peace,1,185,14,14000,28,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,13,switzerland-1,switzerland,1,185,14,14000,28,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,13,hegemony-1,hegemony,1,185,14,14000,23,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,13,retaliation-1,retaliation,1,185,14,14000,27,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,13,random-1,random,1,185,14,14000,28,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,14,peace-1,peace,1,194,15,15000,30,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,14,switzerland-1,switzerland,1,194,15,15000,29,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,14,hegemony-1,hegemony,1,194,15,15000,24,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,14,retaliation-1,retaliation,1,194,15,15000,28,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,14,random-1,random,1,194,15,15000,29,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,15,peace-1,peace,1,204,16,16000,31,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,15,switzerland-1,switzerland,1,204,16,16000,30,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,15,hegemony-1,hegemony,1,204,16,16000,25,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,15,retaliation-1,retaliation,1,204,16,16000,29,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,15,random-1,random,1,204,16,16000,30,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,16,peace-1,peace,1,214,17,17000,33,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,16,switzerland-1,switzerland,1,214,17,17000,32,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,16,hegemony-1,hegemony,1,214,17,17000,27,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,16,retaliation-1,retaliation,1,214,17,17000,31,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,16,random-1,random,1,214,17,17000,32,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,17,peace-1,peace,1,225,18,18000,36,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,17,switzerland-1,switzerland,1,225,18,18000,33,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,17,hegemony-1,hegemony,1,225,18,18000,27,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,17,retaliation-1,retaliation,1,225,18,18000,33,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,17,random-1,random,1,225,18,18000,34,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,18,peace-1,peace,1,236,19,19000,37,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,18,switzerland-1,switzerland,1,236,19,19000,35,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,18,hegemony-1,hegemony,1,236,19,19000,30,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,18,retaliation-1,retaliation,1,236,19,19000,33,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,18,random-1,random,1,236,19,19000,36,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,19,peace-1,peace,1,247,20,20000,37,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,19,switzerland-1,switzerland,1,247,20,20000,37,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,19,hegemony-1,hegemony,1,247,20,20000,31,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,19,retaliation-1,retaliation,1,247,20,20000,34,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,19,random-1,random,1,247,20,20000,38,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,20,peace-1,peace,1,260,21,21000,39,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,20,switzerland-1,switzerland,1,260,20,20000,74,0,0,0,0,0,0,0,0,0,0.0,0.0
all_strategies,0,20,hegemony-1,hegemony,1,260,21,21000,33,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,20,retaliation-1,retaliation,1,260,21,21000,35,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,20,random-1,random,1,260,21,21000,75,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,21,peace-1,peace,1,272,21,23100,69,0,0,0,0,0,0,1,0,0,0.0,0.0
all_strategies,0,21,switzerland-1,switzerland,1,272,20,22000,74,0,0,0,0,0,0,1,0,0,0.0,0.0
all_strategies,0,21,hegemony-1,hegemony,1,272,22,22000,35,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,21,retaliation-1,retaliation,1,272,21,23100,69,0,0,0,0,0,0,1,0,0,0.0,0.0
all_strategies,0,21,random-1,random,1,272,22,24200,75,0,0,0,1,0,0,1,0,0,0.0,0.0
all_strategies,0,22,peace-1,peace,1,286,22,24200,69,0,0,0,1,0,0,1,0,0,2.0,2.0
all_strategies,0,22,switzerland-1,switzerland,1,286,21,23100,74,0,0,0,1,0,0,1,0,0,2.0,2.0
all_strategies,0,22,hegemony-1,hegemony,1,286,23,23000,38,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,22,retaliation-1,retaliation,1,286,22,24200,69,0,0,0,1,0,0,1,0,0,2.0,2.0
all_strategies,0,22,random-1,random,1,286,23,25300,77,0,0,0,1,0,0,1,0,0,2.0,2.0
all_strategies,0,23,peace-1,peace,1,300,23,25300,71,0,0,0,1,0,0,1,0,0,3.0,3.0
all_strategies,0,23,switzerland-1,switzerland,1,300,22,24200,75,0,0,0,1,0,0,1,0,0,3.0,3.0
all_strategies,0,23,hegemony-1,hegemony,1,300,24,24000,38,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,23,retaliation-1,retaliation,1,300,23,25300,69,0,0,0,1,0,0,1,0,0,3.0,3.0
all_strategies,0,23,random-1,random,1,300,24,26400,78,0,0,0,1,0,0,1,0,0,3.0,3.0
all_strategies,0,24,peace-1,peace,1,315,24,26400,73,0,0,0,1,0,0,1,0,0,4.0,4.0
all_strategies,0,24,switzerland-1,switzerland,1,315,23,25300,77,0,0,0,1,0,0,1,0,0,4.0,4.0
all_strategies,0,24,hegemony-1,hegemony,1,315,25,25000,41,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,24,retaliation-1,retaliation,1,315,24,26400,70,0,0,0,1,0,0,1,0,0,4.0,4.0
all_strategies,0,24,random-1,random,1,315,25,27500,80,0,0,0,1,0,0,1,0,0,4.0,4.0
all_strategies,0,25,peace-1,peace,1,330,25,27500,75,0,0,0,1,0,0,1,0,0,5.0,5.0
all_strategies,0,25,switzerland-1,switzerland,1,327,24,26400,77,0,1,0,1,0,3,1,0,0,-45.0,5.0
all_strategies,0,25,hegemony-1,hegemony,1,330,26,26000,44,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,25,retaliation-1,retaliation,1,330,25,27500,70,0,0,0,1,0,0,1,0,0,5.0,5.0
all_strategies,0,25,random-1,random,1,325,25,27500,80,1,0,0,0,0,6,1,0,0,5.0,-45.0
all_strategies,0,26,peace-1,peace,1,347,26,28600,76,0,0,0,1,0,0,1,0,0,6.0,6.0
all_strategies,0,26,switzerland-1,switzerland,1,344,25,25000,79,0,0,0,1,0,0,0,0,0,-44.0,4.0
all_strategies,0,26,hegemony-1,hegemony,1,347,27,27000,45,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,26,retaliation-1,retaliation,1,347,26,28600,72,0,0,0,1,0,0,1,0,0,6.0,6.0
all_strategies,0,26,random-1,random,1,341,26,26000,80,0,0,0,1,0,0,0,0,0,4.0,-44.0
all_strategies,0,27,peace-1,peace,1,364,27,29700,78,0,0,0,1,0,0,1,0,0,7.0,7.0
all_strategies,0,27,switzerland-1,switzerland,1,361,26,26000,82,0,0,0,1,0,0,0,0,0,-43.0,3.0
all_strategies,0,27,hegemony-1,hegemony,1,364,28,28000,47,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,27,retaliation-1,retaliation,1,364,27,29700,74,0,0,0,1,0,0,1,0,0,7.0,7.0
all_strategies,0,27,random-1,random,1,357,27,27000,80,0,0,0,1,0,0,0,0,0,3.0,-43.0
all_strategies,0,28,peace-1,peace,1,382,28,30800,78,0,0,0,1,0,0,1,0,0,8.0,8.0
all_strategies,0,28,switzerland-1,switzerland,1,378,27,27000,82,0,0,0,1,0,0,0,0,0,-42.0,2.0
all_strategies,0,28,hegemony-1,hegemony,1,382,29,29000,47,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,28,retaliation-1,retaliation,1,382,28,30800,76,0,0,0,1,0,0,1,0,0,8.0,8.0
all_strategies,0,28,random-1,random,1,375,28,28000,82,0,0,0,1,0,0,0,0,0,2.0,-42.0
all_strategies,0,29,peace-1,peace,1,401,29,31900,79,0,0,0,1,0,0,1,0,0,9.0,9.0
all_strategies,0,29,switzerland-1,switzerland,1,397,28,28000,82,0,0,0,1,0,0,0,0,0,-41.0,1.0
all_strategies,0,29,hegemony-1,hegemony,1,400,30,30000,49,0,0,0,1,0,0,0,0,0,0.0,0.0
all_strategies,0,29,retaliation-1,retaliation,1,401,29,31900,78,0,0,0,1,0,0,1,0,0,9.0,9.0
all_strategies,0,29,random-1,random,1,394,29,29000,82,0,0,0,1,0,0,0,0,0,1.0,-41.0
all_strategies,0,30,peace-1,peace,1,420,30,33000,81,0,0,0,1,0,0,1,0,0,10.0,10.0
