scenario,seed,country,strategy,survived,survival_turns,death_cause,final_population,peak_population,final_territory,peak_territory,territory_share,dominant,attacks_made,attacks_suffered,battles_won,cells_conquered,cells_lost,cells_explored,casualties,contacts,pacts_formed,pacts_broken,pacts_lapsed,trade_turns,non_aggression_turns,alliance_turns,unions_absorbed
all_strategies,0,peace-1,peace,0,60,union,0,1178,0,46,0.0,0,0,24,0,0,10,55,136,2,3,0,0,39,10,4,0
all_strategies,0,switzerland-1,switzerland,0,146,conquered,0,5106,0,55,0.0,0,0,135,0,0,62,61,7707,3,3,0,1,107,63,0,0
all_strategies,0,hegemony-1,hegemony,1,300,,57669,79310,68,96,0.2656,0,267,163,106,106,72,33,85120,4,2,0,2,89,0,0,0
all_strategies,0,retaliation-1,retaliation,1,300,,172709,172709,188,188,0.7344,1,203,144,127,127,38,52,67541,4,8,0,3,233,73,4,1
all_strategies,0,random-1,random,0,194,collapsed,0,23168,0,65,0.0,0,142,146,45,45,96,51,40069,3,2,0,2,8,0,0,0
all_strategies,1,peace-1,peace,1,300,,102728,158458,105,135,0.4102,0,0,88,0,0,31,93,25713,3,6,0,2,366,139,4,1
all_strategies,1,switzerland-1,switzerland,0,215,conquered,0,24299,0,69,0.0,0,0,165,0,0,76,75,27750,3,4,0,2,174,130,0,0
all_strategies,1,hegemony-1,hegemony,1,300,,140069,140069,151,151,0.5898,1,269,8,120,120,1,31,49958,3,2,0,2,172,0,0,0
all_strategies,1,retaliation-1,retaliation,0,59,union,0,1368,0,42,0.0,0,28,8,16,16,2,27,137,3,4,0,0,41,9,4,0
all_strategies,1,random-1,random,0,50,collapsed,0,215,0,18,0.0,0,24,52,4,4,30,26,377,4,2,0,2,5,0,0,0
all_strategies,2,peace-1,peace,1,300,,37657,61456,35,73,0.1367,0,0,95,0,0,40,74,25073,3,4,0,1,275,242,0,0
all_strategies,2,switzerland-1,switzerland,1,300,,61668,85972,57,100,0.2227,0,0,127,0,0,50,106,31118,3,4,0,1,324,242,0,0
all_strategies,2,hegemony-1,hegemony,0,86,collapsed,0,245,0,24,0.0,0,64,41,16,16,22,22,749,4,2,0,0,39,0,0,0
all_strategies,2,retaliation-1,retaliation,0,30,collapsed,0,139,0,8,0.0,0,23,23,6,6,13,7,198,1,0,0,0,0,0,0,0
all_strategies,2,random-1,random,1,300,,151625,151625,164,164,0.6406,1,240,41,106,106,3,60,52607,3,2,0,2,18,0,0,0
