scenario,strategy,countries,survival_rate,dominance_rate,mean_survival_turns,mean_final_population,median_final_population,stdev_final_population,mean_peak_population,mean_final_territory,mean_peak_territory,mean_attacks_made,mean_attacks_suffered,mean_casualties,mean_alliance_turns,mean_pacts_formed
all_strategies,hegemony,100,0.85,0.39,275.6,87798.6,98032.5,54208.4,92766.4,95.08,104.93,238.45,101.68,56509.5,0.0,2.08
all_strategies,retaliation,100,0.58,0.29,213.0,66630.5,70587.5,65135.6,77657.0,69.31,90.04,105.19,94.61,31577.0,3.5,5.12
all_strategies,random,100,0.31,0.25,174.8,35543.9,0.0,58667.7,41457.5,39.3,67.53,127.28,94.05,29963.4,0.0,1.89
all_strategies,peace,100,0.4,0.07,185.1,37588.5,0.0,52066.2,52140.4,34.94,72.87,0.0,71.22,11782.9,3.4,5.22
all_strategies,switzerland,100,0.47,0.0,244.0,18342.6,0.0,29341.8,39626.0,16.45,59.96,0.0,109.36,20574.8,0.0,4.39
crowded,hegemony,100,0.46,0.45,135.9,15752.6,0.0,18378.6,17848.4,28.74,38.33,96.53,47.3,11089.8,0.0,1.79
crowded,retaliation,100,0.24,0.24,110.2,11377.1,0.0,21275.5,12640.4,13.37,24.37,48.6,43.27,5074.3,1.3,3.51
crowded,random,100,0.16,0.16,59.1,1863.1,0.0,4659.2,2131.0,10.03,23.5,46.61,29.19,1354.1,0.0,1.76
crowded,switzerland,100,0.27,0.05,160.2,6460.6,0.0,12528.6,10140.5,5.88,17.08,0.0,35.2,3158.5,0.0,3.85
crowded,peace,100,0.16,0.1,126.0,5849.7,0.0,14241.1,10427.7,5.35,18.48,0.0,36.78,3509.9,1.3,3.83
spacious,retaliation,100,0.68,0.49,261.0,167822.5,203712.5,146855.4,190000.6,152.41,184.17,121.05,90.75,35309.9,3.5,4.88
spacious,switzerland,100,0.99,0.1,299.7,157196.4,172770.5,69423.2,168428.0,138.52,157.82,0.0,113.27,25611.1,0.0,4.43
spacious,hegemony,100,0.92,0.02,289.1,135053.1,155184.5,59931.8,136595.7,133.4,138.41,221.83,90.49,51923.1,0.0,1.75
