sweep,parameter,parameter_value,scenario,seed,country,strategy,survived,survival_turns,death_cause,final_population,peak_population,final_territory,peak_territory,territory_share,dominant,attacks_made,attacks_suffered,battles_won,cells_conquered,cells_lost,cells_explored,casualties,contacts,pacts_formed,pacts_broken,pacts_lapsed,trade_turns,non_aggression_turns,alliance_turns,unions_absorbed
map_width,map_width,8,sweep_map_width_8,0,peace-1,peace,0,43,union,0,737,0,13,0.0,0,0,0,0,0,0,12,0,3,6,0,0,83,15,4,0
map_width,map_width,8,sweep_map_width_8,0,switzerland-1,switzerland,0,51,conquered,0,202,0,14,0.0,0,0,39,0,0,17,16,278,4,4,0,1,86,14,0,0
map_width,map_width,8,sweep_map_width_8,0,hegemony-1,hegemony,0,169,collapsed,0,14615,0,30,0.0,0,95,53,32,32,37,6,21250,4,3,0,2,122,0,0,0
map_width,map_width,8,sweep_map_width_8,0,retaliation-1,retaliation,1,169,,41018,41018,62,62,0.9688,1,50,50,37,37,9,20,13893,4,5,0,1,195,17,4,1
map_width,map_width,8,sweep_map_width_8,0,random-1,random,0,24,collapsed,0,104,0,7,0.0,0,15,18,2,2,8,8,154,3,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,1,peace-1,peace,0,69,conquered,0,176,0,13,0.0,0,0,38,0,0,17,16,252,4,5,0,2,87,29,0,0
map_width,map_width,8,sweep_map_width_8,1,switzerland-1,switzerland,0,156,conquered,0,6955,0,17,0.0,0,0,72,0,0,17,16,8505,3,3,0,1,151,29,0,0
map_width,map_width,8,sweep_map_width_8,1,hegemony-1,hegemony,1,156,,28555,28555,64,64,1.0,1,123,48,57,57,7,13,10782,4,2,0,2,104,0,0,0
map_width,map_width,8,sweep_map_width_8,1,retaliation-1,retaliation,0,23,collapsed,0,160,0,11,0.0,0,13,13,0,0,10,10,148,2,1,0,0,17,0,0,0
map_width,map_width,8,sweep_map_width_8,1,random-1,random,0,83,collapsed,0,515,0,22,0.0,0,75,40,20,20,26,7,1287,3,1,0,1,1,0,0,0
map_width,map_width,8,sweep_map_width_8,2,peace-1,peace,0,34,conquered,0,131,0,10,0.0,0,0,28,0,0,13,12,159,2,1,0,0,26,0,0,0
map_width,map_width,8,sweep_map_width_8,2,switzerland-1,switzerland,0,216,conquered,0,15343,0,14,0.0,0,0,33,0,0,15,14,8223,4,4,0,1,387,150,0,0
map_width,map_width,8,sweep_map_width_8,2,hegemony-1,hegemony,1,216,,34452,34452,64,64,1.0,1,208,151,109,109,53,7,17455,4,2,0,2,190,0,0,0
map_width,map_width,8,sweep_map_width_8,2,retaliation-1,retaliation,0,189,collapsed,0,4764,0,28,0.0,0,171,153,66,66,78,12,13293,3,4,0,2,191,150,0,0
map_width,map_width,8,sweep_map_width_8,2,random-1,random,0,47,conquered,0,214,0,14,0.0,0,29,43,6,6,22,15,385,3,1,0,1,4,0,0,0
map_width,map_width,8,sweep_map_width_8,3,peace-1,peace,0,168,conquered,0,11632,0,20,0.0,0,0,64,0,0,23,22,10303,3,1,0,1,113,0,0,0
map_width,map_width,8,sweep_map_width_8,3,switzerland-1,switzerland,0,86,conquered,0,611,0,16,0.0,0,0,51,0,0,20,19,845,3,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,3,hegemony-1,hegemony,1,168,,35187,35187,64,64,1.0,1,121,18,58,58,4,9,10231,4,1,0,1,113,0,0,0
map_width,map_width,8,sweep_map_width_8,3,retaliation-1,retaliation,0,15,conquered,0,122,0,6,0.0,0,9,11,2,2,8,5,121,1,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,3,random-1,random,0,69,collapsed,0,238,0,17,0.0,0,58,44,15,15,20,11,841,3,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,4,peace-1,peace,0,32,conquered,0,120,0,10,0.0,0,0,27,0,0,18,17,116,4,3,0,0,55,0,0,0
map_width,map_width,8,sweep_map_width_8,4,switzerland-1,switzerland,0,159,conquered,0,13282,0,22,0.0,0,0,46,0,0,22,21,11202,4,5,0,2,187,37,0,0
map_width,map_width,8,sweep_map_width_8,4,hegemony-1,hegemony,1,159,,36014,36014,64,64,1.0,1,115,43,71,71,14,6,10043,4,2,0,2,105,0,0,0
map_width,map_width,8,sweep_map_width_8,4,retaliation-1,retaliation,0,76,collapsed,0,432,0,18,0.0,0,60,51,24,24,31,8,1025,4,5,0,2,97,37,0,0
map_width,map_width,8,sweep_map_width_8,4,random-1,random,0,25,collapsed,0,132,0,8,0.0,0,10,18,1,1,11,14,142,4,3,0,2,18,0,0,0
map_width,map_width,8,sweep_map_width_8,5,peace-1,peace,0,205,conquered,0,27652,0,35,0.0,0,0,85,0,0,35,17,22062,4,5,0,1,180,10,5,1
map_width,map_width,8,sweep_map_width_8,5,switzerland-1,switzerland,0,31,conquered,0,132,0,10,0.0,0,0,25,0,0,15,14,127,4,3,0,1,49,0,0,0
map_width,map_width,8,sweep_map_width_8,5,hegemony-1,hegemony,1,205,,47652,47652,64,64,1.0,1,120,19,61,61,7,9,20329,4,2,0,1,155,0,0,0
map_width,map_width,8,sweep_map_width_8,5,retaliation-1,retaliation,0,48,union,0,587,0,17,0.0,0,23,6,8,8,2,10,220,4,6,0,1,106,10,5,0
map_width,map_width,8,sweep_map_width_8,5,random-1,random,0,51,collapsed,0,354,0,17,0.0,0,35,43,10,10,20,11,581,4,2,0,2,8,0,0,0
map_width,map_width,8,sweep_map_width_8,6,peace-1,peace,0,86,conquered,0,947,0,23,0.0,0,0,44,0,0,28,27,1160,3,2,0,0,59,0,0,0
map_width,map_width,8,sweep_map_width_8,6,switzerland-1,switzerland,0,58,conquered,0,120,0,10,0.0,0,0,28,0,0,20,19,160,3,1,0,0,41,0,0,0
map_width,map_width,8,sweep_map_width_8,6,hegemony-1,hegemony,0,37,collapsed,0,104,0,13,0.0,0,31,16,10,10,10,5,243,4,1,0,0,18,0,0,0
map_width,map_width,8,sweep_map_width_8,6,retaliation-1,retaliation,0,9,conquered,0,104,0,3,0.0,0,6,7,1,1,4,2,107,1,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,6,random-1,random,1,86,,6352,6352,64,64,1.0,1,74,16,52,52,1,12,986,3,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,7,peace-1,peace,0,54,union,0,264,0,11,0.0,0,0,20,0,0,11,14,186,4,6,0,2,64,10,4,0
map_width,map_width,8,sweep_map_width_8,7,switzerland-1,switzerland,0,24,conquered,0,121,0,8,0.0,0,0,21,0,0,12,11,114,4,3,0,1,30,0,0,0
map_width,map_width,8,sweep_map_width_8,7,hegemony-1,hegemony,0,212,collapsed,0,18026,0,23,0.0,0,108,76,39,39,42,5,26310,4,2,0,2,76,0,0,0
map_width,map_width,8,sweep_map_width_8,7,retaliation-1,retaliation,1,212,,43331,43331,61,61,0.9531,1,75,66,47,47,13,22,20296,4,6,0,2,134,10,4,1
map_width,map_width,8,sweep_map_width_8,7,random-1,random,0,59,collapsed,0,426,0,21,0.0,0,51,51,20,20,28,8,799,4,3,0,3,14,0,0,0
map_width,map_width,8,sweep_map_width_8,8,peace-1,peace,0,273,conquered,0,21055,0,18,0.0,0,0,81,0,0,30,29,12403,3,5,0,3,346,214,0,0
map_width,map_width,8,sweep_map_width_8,8,switzerland-1,switzerland,0,247,conquered,0,16533,0,16,0.0,0,0,54,0,0,18,17,12485,3,4,0,2,351,214,0,0
map_width,map_width,8,sweep_map_width_8,8,hegemony-1,hegemony,1,273,,46335,46335,64,64,1.0,1,161,39,57,57,15,21,24327,4,3,0,3,202,0,0,0
map_width,map_width,8,sweep_map_width_8,8,retaliation-1,retaliation,0,21,collapsed,0,120,0,5,0.0,0,16,18,4,4,7,5,151,2,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,8,random-1,random,0,94,collapsed,0,621,0,25,0.0,0,81,66,27,27,18,12,2032,4,2,0,2,9,0,0,0
map_width,map_width,8,sweep_map_width_8,9,peace-1,peace,1,300,,40691,40691,37,37,0.5781,1,0,27,0,0,0,36,650,3,4,0,1,300,260,0,0
map_width,map_width,8,sweep_map_width_8,9,switzerland-1,switzerland,1,300,,29689,29689,27,27,0.4219,0,0,22,0,0,8,34,437,2,3,0,1,290,260,0,0
map_width,map_width,8,sweep_map_width_8,9,hegemony-1,hegemony,0,61,collapsed,0,141,0,13,0.0,0,56,31,10,10,11,5,430,3,1,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,9,retaliation-1,retaliation,0,19,conquered,0,129,0,7,0.0,0,13,15,1,1,8,6,141,2,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,9,random-1,random,0,89,collapsed,0,792,0,37,0.0,0,69,43,19,19,3,20,2130,4,2,0,2,12,0,0,0
map_width,map_width,8,sweep_map_width_8,10,peace-1,peace,0,21,conquered,0,116,0,8,0.0,0,0,21,0,0,13,12,99,3,2,0,1,13,0,0,0
map_width,map_width,8,sweep_map_width_8,10,switzerland-1,switzerland,0,41,conquered,0,197,0,12,0.0,0,0,31,0,0,14,13,213,4,4,0,2,53,0,0,0
map_width,map_width,8,sweep_map_width_8,10,hegemony-1,hegemony,0,276,collapsed,0,18302,0,36,0.0,0,215,191,79,79,83,6,57845,4,3,0,3,118,0,0,0
map_width,map_width,8,sweep_map_width_8,10,retaliation-1,retaliation,1,276,,40568,40568,61,61,0.9531,1,179,163,84,84,46,22,49759,3,3,0,2,139,0,0,0
map_width,map_width,8,sweep_map_width_8,10,random-1,random,0,61,collapsed,0,395,0,19,0.0,0,53,41,16,16,23,7,690,4,4,0,4,21,0,0,0
map_width,map_width,8,sweep_map_width_8,11,peace-1,peace,0,178,conquered,0,15619,0,24,0.0,0,0,60,0,0,24,23,14281,2,3,0,1,116,37,0,0
map_width,map_width,8,sweep_map_width_8,11,switzerland-1,switzerland,0,76,conquered,0,615,0,21,0.0,0,0,57,0,0,22,21,812,4,5,0,2,82,37,0,0
map_width,map_width,8,sweep_map_width_8,11,hegemony-1,hegemony,1,178,,42375,42375,64,64,1.0,1,129,12,57,57,1,7,14957,4,2,0,2,59,0,0,0
map_width,map_width,8,sweep_map_width_8,11,retaliation-1,retaliation,0,21,conquered,0,119,0,5,0.0,0,16,15,4,4,8,3,162,3,2,0,1,6,0,0,0
map_width,map_width,8,sweep_map_width_8,11,random-1,random,0,11,conquered,0,115,0,4,0.0,0,6,7,0,0,6,5,102,3,2,0,2,5,0,0,0
map_width,map_width,8,sweep_map_width_8,12,peace-1,peace,0,33,conquered,0,115,0,6,0.0,0,0,14,0,0,10,9,93,4,2,0,1,31,0,0,0
map_width,map_width,8,sweep_map_width_8,12,switzerland-1,switzerland,1,300,,12100,12784,11,11,0.1719,0,0,0,0,0,0,10,0,3,4,0,0,473,267,0,0
map_width,map_width,8,sweep_map_width_8,12,hegemony-1,hegemony,0,167,collapsed,0,3083,0,32,0.0,0,160,143,64,64,68,7,10474,4,2,0,1,171,0,0,0
map_width,map_width,8,sweep_map_width_8,12,retaliation-1,retaliation,1,300,,58128,58128,53,53,0.8281,1,127,124,67,67,36,21,8011,4,4,0,2,321,267,0,0
map_width,map_width,8,sweep_map_width_8,12,random-1,random,0,42,collapsed,0,213,0,16,0.0,0,24,30,6,6,23,18,296,3,2,0,2,14,0,0,0
map_width,map_width,8,sweep_map_width_8,13,peace-1,peace,1,300,,46194,46194,42,42,0.6562,1,0,24,0,0,6,30,345,3,6,0,1,347,285,8,1
map_width,map_width,8,sweep_map_width_8,13,switzerland-1,switzerland,1,300,,24191,24191,22,22,0.3438,0,0,38,0,0,5,26,487,4,6,0,1,364,293,0,0
map_width,map_width,8,sweep_map_width_8,13,hegemony-1,hegemony,0,16,conquered,0,120,0,5,0.0,0,11,12,4,4,9,4,129,2,1,0,0,11,0,0,0
map_width,map_width,8,sweep_map_width_8,13,retaliation-1,retaliation,0,64,union,0,989,0,17,0.0,0,12,11,9,9,4,11,100,3,5,0,0,100,42,8,0
map_width,map_width,8,sweep_map_width_8,13,random-1,random,0,76,collapsed,0,352,0,25,0.0,0,62,0,11,11,0,13,1252,2,2,0,2,6,0,0,0
map_width,map_width,8,sweep_map_width_8,14,peace-1,peace,0,254,conquered,0,21531,0,20,0.0,0,0,36,0,0,20,19,10691,3,4,0,2,446,194,0,0
map_width,map_width,8,sweep_map_width_8,14,switzerland-1,switzerland,0,226,conquered,0,19754,0,19,0.0,0,0,75,0,0,29,28,13893,3,4,0,2,330,194,0,0
map_width,map_width,8,sweep_map_width_8,14,hegemony-1,hegemony,1,254,,48147,48147,64,64,1.0,1,143,34,61,61,15,17,21128,4,2,0,2,324,0,0,0
map_width,map_width,8,sweep_map_width_8,14,retaliation-1,retaliation,0,14,conquered,0,126,0,6,0.0,0,9,10,2,2,8,5,114,2,0,0,0,0,0,0,0
map_width,map_width,8,sweep_map_width_8,14,random-1,random,0,78,collapsed,0,405,0,24,0.0,0,68,65,28,28,19,10,1260,4,2,0,2,6,0,0,0
map_width,map_width,8,sweep_map_width_8,15,peace-1,peace,0,212,conquered,0,11368,0,17,0.0,0,0,60,0,0,22,21,7489,4,5,0,2,370,153,0,0
map_width,map_width,8,sweep_map_width_8,15,switzerland-1,switzerland,0,190,conquered,0,7906,0,11,0.0,0,0,38,0,0,12,11,6202,4,5,0,2,362,153,0,0
map_width,map_width,8,sweep_map_width_8,15,hegemony-1,hegemony,1,212,,34297,34297,64,64,1.0,1,134,44,47,47,18,34,13065,4,2,0,2,331,0,0,0
map_width,map_width,8,sweep_map_width_8,15,retaliation-1,retaliation,0,23,collapsed,0,126,0,7,0.0,0,16,16,1,1,8,7,153,3,2,0,0,28,0,0,0
map_width,map_width,8,sweep_map_width_8,15,random-1,random,0,102,collapsed,0,833,0,34,0.0,0,85,77,34,34,22,16,3089,3,2,0,2,9,0,0,0
map_width,map_width,8,sweep_map_width_8,16,peace-1,peace,0,109,union,0,7170,0,11,0.0,0,0,8,0,0,1,11,39,4,7,0,1,187,88,4,0
map_width,map_width,8,sweep_map_width_8,16,switzerland-1,switzerland,1,300,,14299,14299,13,13,0.2031,0,0,1,0,0,0,12,5,4,6,0,1,448,339,0,0
map_width,map_width,8,sweep_map_width_8,16,hegemony-1,hegemony,0,67,collapsed,0,340,0,18,0.0,0,59,44,20,20,27,8,741,4,3,0,1,96,0,0,0
map_width,map_width,8,sweep_map_width_8,16,retaliation-1,retaliation,1,300,,56092,56092,51,51,0.7969,1,42,41,27,27,9,21,485,4,7,0,1,370,273,4,1
map_width,map_width,8,sweep_map_width_8,16,random-1,random,0,24,collapsed,0,132,0,9,0.0,0,11,18,1,1,11,13,159,4,3,0,2,35,0,0,0
