sweep,parameter,parameter_value,scenario,strategy,countries,survival_rate,dominance_rate,mean_survival_turns,mean_final_population,median_final_population,stdev_final_population,mean_peak_population,mean_final_territory,mean_peak_territory,mean_attacks_made,mean_attacks_suffered,mean_casualties,mean_alliance_turns,mean_pacts_formed
map_width,map_width,8,sweep_map_width_8,hegemony,100,0.46,0.45,135.9,15752.6,0.0,18378.6,17848.4,28.74,38.33,96.53,47.3,11089.8,0.0,1.79
map_width,map_width,8,sweep_map_width_8,retaliation,100,0.24,0.24,110.2,11377.1,0.0,21275.5,12640.4,13.37,24.37,48.6,43.27,5074.3,1.3,3.51
map_width,map_width,8,sweep_map_width_8,random,100,0.16,0.16,59.1,1863.1,0.0,4659.2,2131.0,10.03,23.5,46.61,29.19,1354.1,0.0,1.76
map_width,map_width,8,sweep_map_width_8,switzerland,100,0.27,0.05,160.2,6460.6,0.0,12528.6,10140.5,5.88,17.08,0.0,35.2,3158.5,0.0,3.85
map_width,map_width,8,sweep_map_width_8,peace,100,0.16,0.1,126.0,5849.7,0.0,14241.1,10427.7,5.35,18.48,0.0,36.78,3509.9,1.3,3.83
map_width,map_width,12,sweep_map_width_12,hegemony,100,0.68,0.45,241.0,55840.8,36546.5,52485.4,60612.3,63.46,77.44,200.41,99.71,43215.9,0.0,1.9
map_width,map_width,12,sweep_map_width_12,retaliation,100,0.47,0.31,191.5,36921.0,0.0,47073.1,43985.5,39.31,59.36,106.7,94.01,29652.7,3.2,4.63
map_width,map_width,12,sweep_map_width_12,random,100,0.19,0.18,111.9,21323.2,0.0,46074.2,22163.3,24.37,43.91,85.52,60.29,11182.5,0.0,1.88
map_width,map_width,12,sweep_map_width_12,switzerland,100,0.3,0.0,203.3,10241.8,0.0,18765.9,21277.6,9.29,35.07,0.0,65.88,9428.3,0.0,4.07
map_width,map_width,12,sweep_map_width_12,peace,100,0.17,0.06,158.4,8089.0,0.0,25075.5,22745.7,7.31,42.26,0.0,72.74,12332.9,3.2,4.92
map_width,map_width,16,sweep_map_width_16,hegemony,100,0.85,0.39,275.6,87798.6,98032.5,54208.4,92766.4,95.08,104.93,238.45,101.68,56509.5,0.0,2.08
map_width,map_width,16,sweep_map_width_16,retaliation,100,0.58,0.29,213.0,66630.5,70587.5,65135.6,77657.0,69.31,90.04,105.19,94.61,31577.0,3.5,5.12
map_width,map_width,16,sweep_map_width_16,random,100,0.31,0.25,174.8,35543.9,0.0,58667.7,41457.5,39.3,67.53,127.28,94.05,29963.4,0.0,1.89
map_width,map_width,16,sweep_map_width_16,peace,100,0.4,0.07,185.1,37588.5,0.0,52066.2,52140.4,34.94,72.87,0.0,71.22,11782.9,3.4,5.22
map_width,map_width,16,sweep_map_width_16,switzerland,100,0.47,0.0,244.0,18342.6,0.0,29341.8,39626.0,16.45,59.96,0.0,109.36,20574.8,0.0,4.39
map_width,map_width,20,sweep_map_width_20,hegemony,100,0.94,0.27,286.3,137437.2,150800.5,50531.2,139475.5,138.26,140.93,238.8,72.06,50675.4,0.0,1.77
map_width,map_width,20,sweep_map_width_20,retaliation,100,0.62,0.43,224.5,118935.3,152308.5,103502.6,126802.7,109.18,131.63,99.15,65.01,22244.1,3.4,5.03
map_width,map_width,20,sweep_map_width_20,peace,100,0.42,0.16,198.2,63436.2,0.0,85447.4,77851.1,57.23,97.65,0.0,71.89,10338.5,3.5,5.0
map_width,map_width,20,sweep_map_width_20,switzerland,100,0.74,0.02,280.6,54628.4,49619.5,49709.4,80235.8,48.4,90.58,0.0,123.58,27025.6,0.0,4.24
map_width,map_width,20,sweep_map_width_20,random,100,0.36,0.12,220.6,33872.6,0.0,54671.5,50747.7,37.91,82.78,143.23,148.64,49947.8,0.2,2.28
map_width,map_width,26,sweep_map_width_26,retaliation,100,0.68,0.49,261.0,167822.5,203712.5,146855.4,190000.6,152.41,184.17,121.05,90.75,35309.9,3.5,4.88
map_width,map_width,26,sweep_map_width_26,switzerland,100,0.99,0.1,299.7,157196.4,172770.5,69423.2,168428.0,138.52,157.82,0.0,113.27,25611.1,0.0,4.43
map_width,map_width,26,sweep_map_width_26,hegemony,100,0.92,0.02,289.1,135053.1,155184.5,59931.8,136595.7,133.4,138.41,221.83,90.49,51923.1,0.0,1.75
map_width,map_width,26,sweep_map_width_26,random,100,0.73,0.16,276.8,95032.8,90914.0,77884.1,110850.3,104.04,134.59,153.5,134.79,65293.8,0.1,2.1
map_width,map_width,26,sweep_map_width_26,peace,100,0.51,0.23,215.6,104878.4,1015.5,125860.2,123432.0,93.21,141.82,0.0,67.08,11683.4,3.4,4.8
defender_multiplier,defender_multiplier,1.0,sweep_defender_multiplier_1p0,hegemony,100,0.87,0.42,275.1,94762.8,103548.0,57372.4,100464.7,103.96,114.91,247.06,119.07,61475.4,0.0,1.87
defender_multiplier,defender_multiplier,1.0,sweep_defender_multiplier_1p0,retaliation,100,0.55,0.32,207.5,63485.5,52060.0,66176.4,72575.1,68.09,90.36,119.12,99.97,36456.9,3.2,4.91
defender_multiplier,defender_multiplier,1.0,sweep_defender_multiplier_1p0,random,100,0.28,0.24,168.9,42092.4,0.0,70813.5,47214.0,45.94,74.91,120.86,92.68,26468.5,0.0,1.9
defender_multiplier,defender_multiplier,1.0,sweep_defender_multiplier_1p0,peace,100,0.4,0.02,184.3,25447.4,0.0,38698.7,47147.1,24.76,69.62,0.0,78.78,15294.8,3.2,5.06
defender_multiplier,defender_multiplier,1.0,sweep_defender_multiplier_1p0,switzerland,100,0.36,0.0,221.0,12963.2,0.0,25027.4,33194.7,11.59,57.13,0.0,96.54,17587.0,0.0,4.32
defender_multiplier,defender_multiplier,1.5,sweep_defender_multiplier_1p5,hegemony,100,0.85,0.39,275.6,87798.6,98032.5,54208.4,92766.4,95.08,104.93,238.45,101.68,56509.5,0.0,2.08
defender_multiplier,defender_multiplier,1.5,sweep_defender_multiplier_1p5,retaliation,100,0.58,0.29,213.0,66630.5,70587.5,65135.6,77657.0,69.31,90.04,105.19,94.61,31577.0,3.5,5.12
defender_multiplier,defender_multiplier,1.5,sweep_defender_multiplier_1p5,random,100,0.31,0.25,174.8,35543.9,0.0,58667.7,41457.5,39.3,67.53,127.28,94.05,29963.4,0.0,1.89
defender_multiplier,defender_multiplier,1.5,sweep_defender_multiplier_1p5,peace,100,0.4,0.07,185.1,37588.5,0.0,52066.2,52140.4,34.94,72.87,0.0,71.22,11782.9,3.4,5.22
defender_multiplier,defender_multiplier,1.5,sweep_defender_multiplier_1p5,switzerland,100,0.47,0.0,244.0,18342.6,0.0,29341.8,39626.0,16.45,59.96,0.0,109.36,20574.8,0.0,4.39
defender_multiplier,defender_multiplier,2.0,sweep_defender_multiplier_2p0,hegemony,100,0.86,0.34,274.6,85444.2,96333.5,48347.1,89080.5,88.42,94.47,204.4,73.37,42255.6,0.0,2.11
defender_multiplier,defender_multiplier,2.0,sweep_defender_multiplier_2p0,retaliation,100,0.57,0.35,213.7,73571.4,82919.5,72842.4,85050.0,69.79,90.83,86.27,62.88,18586.2,3.6,5.18
defender_multiplier,defender_multiplier,2.0,sweep_defender_multiplier_2p0,peace,100,0.45,0.1,189.8,43714.7,0.0,57069.8,55530.2,40.11,74.15,0.0,67.27,9899.3,3.5,5.38
defender_multiplier,defender_multiplier,2.0,sweep_defender_multiplier_2p0,random,100,0.3,0.21,172.7,30569.2,0.0,52629.6,36309.7,34.15,63.89,125.01,100.62,29679.7,0.1,2.05
defender_multiplier,defender_multiplier,2.0,sweep_defender_multiplier_2p0,switzerland,100,0.58,0.0,259.4,25897.6,4299.5,33258.4,46080.2,23.05,61.43,0.0,111.54,20439.5,0.0,4.46
defender_multiplier,defender_multiplier,2.5,sweep_defender_multiplier_2p5,hegemony,100,0.99,0.45,299.9,110850.7,113229.5,38686.1,111684.1,104.73,105.37,146.46,51.5,28922.0,0.0,2.69
defender_multiplier,defender_multiplier,2.5,sweep_defender_multiplier_2p5,retaliation,100,0.51,0.31,207.4,64450.1,18399.0,71840.7,71674.8,56.37,82.22,59.2,37.62,9585.2,3.6,5.2
defender_multiplier,defender_multiplier,2.5,sweep_defender_multiplier_2p5,peace,100,0.57,0.21,216.6,59912.2,30690.5,64207.9,69606.6,52.22,77.11,0.0,37.28,5561.1,3.6,5.37
defender_multiplier,defender_multiplier,2.5,sweep_defender_multiplier_2p5,switzerland,100,0.67,0.01,280.1,41140.7,47241.0,37078.1,59404.4,35.23,57.78,0.0,67.24,15196.3,0.0,4.44
defender_multiplier,defender_multiplier,2.5,sweep_defender_multiplier_2p5,random,100,0.09,0.02,136.4,5799.4,0.0,20571.9,10218.4,6.92,43.33,93.28,105.3,16726.9,0.0,1.96
defender_multiplier,defender_multiplier,3.0,sweep_defender_multiplier_3p0,hegemony,100,0.99,0.28,298.7,95292.7,86370.0,35471.7,95407.6,85.39,85.77,93.4,32.86,14087.5,0.0,2.6
defender_multiplier,defender_multiplier,3.0,sweep_defender_multiplier_3p0,retaliation,100,0.53,0.34,205.2,68312.7,46240.5,73680.9,73443.4,58.12,82.53,48.54,27.55,5057.4,3.4,5.13
defender_multiplier,defender_multiplier,3.0,sweep_defender_multiplier_3p0,peace,100,0.6,0.34,221.2,68329.9,69271.0,65585.5,74671.3,57.94,79.07,0.0,31.38,4616.9,3.4,5.54
defender_multiplier,defender_multiplier,3.0,sweep_defender_multiplier_3p0,switzerland,100,0.87,0.01,294.8,56830.9,63588.0,30485.4,65309.7,48.23,57.9,0.0,42.73,7610.1,0.0,4.5
defender_multiplier,defender_multiplier,3.0,sweep_defender_multiplier_3p0,random,100,0.09,0.03,139.7,4523.6,0.0,16717.3,8572.3,5.64,42.15,95.99,103.41,16285.7,0.1,1.99
growth_rate,growth_rate,0.02,sweep_growth_rate_0p02,hegemony,100,0.78,0.28,268.3,11248.5,11550.0,9148.6,11374.7,78.86,91.93,193.01,80.87,2383.4,0.0,2.07
growth_rate,growth_rate,0.02,sweep_growth_rate_0p02,retaliation,100,0.56,0.36,210.2,15622.6,8735.0,17783.6,15793.7,68.17,89.2,92.59,78.53,1543.5,3.6,5.11
growth_rate,growth_rate,0.02,sweep_growth_rate_0p02,peace,100,0.48,0.13,189.6,13020.7,0.0,16658.8,13161.2,43.57,74.03,0.0,59.78,679.1,3.6,5.23
growth_rate,growth_rate,0.02,sweep_growth_rate_0p02,random,100,0.27,0.23,167.6,3844.0,0.0,6932.2,4097.2,35.97,66.1,119.35,90.74,1950.8,0.0,1.9
growth_rate,growth_rate,0.02,sweep_growth_rate_0p02,switzerland,100,0.55,0.0,247.3,8745.2,3375.0,10326.2,9052.8,26.39,60.5,0.0,95.03,1013.9,0.0,4.37
growth_rate,growth_rate,0.035,sweep_growth_rate_0p035,hegemony,100,0.78,0.38,267.8,69422.6,78455.0,49614.3,70952.4,84.99,97.75,222.67,92.31,30196.6,0.0,2.03
growth_rate,growth_rate,0.035,sweep_growth_rate_0p035,retaliation,100,0.56,0.29,209.8,60492.0,55350.5,61052.0,62761.4,67.68,89.45,101.97,88.38,18347.4,3.6,5.13
growth_rate,growth_rate,0.035,sweep_growth_rate_0p035,peace,100,0.48,0.09,189.9,41524.2,0.0,52499.1,46048.2,40.45,75.64,0.0,71.14,7696.6,3.6,5.26
growth_rate,growth_rate,0.035,sweep_growth_rate_0p035,random,100,0.29,0.24,168.7,32197.5,0.0,53235.1,33648.7,40.27,68.32,120.57,90.49,13541.2,0.1,1.92
growth_rate,growth_rate,0.035,sweep_growth_rate_0p035,switzerland,100,0.52,0.0,244.7,22650.6,2472.0,29953.6,29171.0,21.03,60.2,0.0,102.89,9327.3,0.0,4.36
growth_rate,growth_rate,0.05,sweep_growth_rate_0p05,hegemony,100,0.85,0.39,275.6,87798.6,98032.5,54208.4,92766.4,95.08,104.93,238.45,101.68,56509.5,0.0,2.08
growth_rate,growth_rate,0.05,sweep_growth_rate_0p05,retaliation,100,0.58,0.29,213.0,66630.5,70587.5,65135.6,77657.0,69.31,90.04,105.19,94.61,31577.0,3.5,5.12
growth_rate,growth_rate,0.05,sweep_growth_rate_0p05,random,100,0.31,0.25,174.8,35543.9,0.0,58667.7,41457.5,39.3,67.53,127.28,94.05,29963.4,0.0,1.89
growth_rate,growth_rate,0.05,sweep_growth_rate_0p05,peace,100,0.4,0.07,185.1,37588.5,0.0,52066.2,52140.4,34.94,72.87,0.0,71.22,11782.9,3.4,5.22
growth_rate,growth_rate,0.05,sweep_growth_rate_0p05,switzerland,100,0.47,0.0,244.0,18342.6,0.0,29341.8,39626.0,16.45,59.96,0.0,109.36,20574.8,0.0,4.39
growth_rate,growth_rate,0.075,sweep_growth_rate_0p075,hegemony,100,0.88,0.46,276.9,99466.0,109131.5,53809.5,106340.0,102.83,110.46,243.3,99.37,74783.6,0.0,2.02
growth_rate,growth_rate,0.075,sweep_growth_rate_0p075,retaliation,100,0.58,0.31,213.0,72109.6,80663.0,69433.4,89243.4,71.79,91.62,102.92,89.0,37842.1,3.5,5.09
